Priority,Language,ISO,Speakers,Special_Characters,IPA,Japanese_Mapping,Status,Notes
# 高優先度 - 話者数多い・需要高い
high,カザフ語,kaz,13M,"Ә Ғ Қ Ң Ө Ү Ұ І Һ","/æ/ /ʁ/ /q/ /ŋ/ /ø/ /y/ /ʊ/ /ɪ/ /h/",拡張母音・特殊子音,planned,中央アジア主要言語
high,ウズベク語,uzb,27M,"Ў Қ Ғ Ҳ","/o/ /q/ /ʁ/ /χ/",特殊子音,planned,中央アジア主要言語
high,キルギス語,kir,4.5M,"Ң Ө Ү","/ŋ/ /ø/ /y/",拡張母音,planned,中央アジア
high,タジク語,tgk,8M,"Ғ Ӣ Қ Ӯ Ҳ Ҷ","/ʁ/ /iː/ /q/ /oː/ /χ/ /dʒ/",長母音・特殊子音,planned,ペルシア語系
high,モンゴル語,mon,5M,"Ө Ү","/ø/ /y/",拡張母音,planned,モンゴル国公用語
# 中優先度 - 地域言語
medium,タタール語,tat,5M,"Ә Ө Ү Җ Ң Һ","/æ/ /ø/ /y/ /ʤ/ /ŋ/ /h/",拡張母音・特殊子音,planned,ロシア連邦内
medium,バシキール語,bak,1.2M,"Ә Ө Ү Ҙ Ҡ Ң Ҫ Һ","/æ/ /ø/ /y/ /ð/ /q/ /ŋ/ /θ/ /h/",特殊子音多数,planned,ロシア連邦内
medium,チュヴァシ語,chv,1M,"Ӑ Ӗ Ҫ Ӳ","/ə/ /ɘ/ /ɕ/ /y/",拡張母音,planned,ロシア連邦内
medium,マケドニア語,mkd,2M,"Ѓ Ѕ Ј Љ Њ Ќ Џ","/ɟ/ /dz/ /j/ /ʎ/ /ɲ/ /c/ /dʒ/",セルビア語類似,planned,バルカン半島
medium,アゼルバイジャン語,aze,25M,"Ҝ Ғ Ҹ Ҷ Ө Ү Ә","/ɟ/ /ɣ/ /dʒ/ /tʃ/ /ø/ /y/ /æ/",現在ラテン文字主流,planned,歴史的キリル表記
# 低優先度 - 少数話者・特殊用途
low,教会スラヴ語,chu,-,"Ѣ Ѳ Ѵ Ѯ Ѱ ユス類",歴史的発音,宗教・歴史用,future,歴史的・宗教的
low,コミ語,kpv,0.2M,"Ԁ Ԃ Ԅ Ԇ Ԉ",特殊発音,特殊文字多数,future,ロシア連邦内少数言語
low,ハンティー語,kca,0.01M,"Ә Ӛ Є Ԑ",特殊母音,特殊文字,future,シベリア少数言語
low,チュクチ語,ckt,0.005M,"Ӄ Ԓ Ӈ ʼ",特殊子音,特殊文字,future,極東少数言語
low,アブハズ語,abk,0.1M,多数の特殊文字,複雑な子音体系,特殊子音多数,future,カフカス言語
# 新規母音の日本語対応案
,Ә (シュワー),-,-,-,"/æ/ /ə/",えぁ または 特殊記号,-,え/あ の中間音
,Ө,-,-,-,"/ø/",おぇ または 特殊記号,-,お/え の中間音(円唇前舌)
,Ү,-,-,-,"/y/",うぃ (前舌),-,う/い の中間音(円唇前舌)
,Ұ,-,-,-,"/ʊ/",う,-,短いう
,Ӯ/Ӣ,-,-,-,"/oː/ /iː/",おー/いー,-,長母音
# 新規子音の日本語対応案
,Ғ,-,-,-,"/ʁ/ /ɣ/",が゛ または 特殊,-,有声口蓋垂摩擦音
,Қ,-,-,-,"/q/",くぁ系,-,無声口蓋垂破裂音
,Ң,-,-,-,"/ŋ/",ん(語中ng),-,軟口蓋鼻音
,Һ,-,-,-,"/h/",は行,-,無声声門摩擦音
,Ҳ,-,-,-,"/χ/",は゛ または 特殊,-,無声口蓋垂摩擦音
,Ҷ,-,-,-,"/dʒ/",じゃ行,-,有声後部歯茎破擦音
,Ҙ,-,-,-,"/ð/",ざ゛ または 特殊,-,有声歯摩擦音
,Љ/Њ,-,-,-,"/ʎ/ /ɲ/",りゃ/にゃ,-,硬口蓋側面接近音/鼻音
