Row,Output,Standard,UKR,BEL,BUL,SRB
ga,が,Га,Ґа,Га,Га,Га
gi,ぎ,Ги,Ґі,Ги,Ги,Ги
gu,ぐ,Гу,Ґу,Гу,Гу,Гу
ge,げ,Гэ,Ґе,Гэ,Гэ,Гэ
go,ご,Го,Ґо,Го,Го,Го
za,ざ,Дза,Дза,Дза,Дза,Дза
ji,じ,Дзи,Дзі,Дзі,Дзи,Дзи
zu,ず,Дзу,Дзу,Дзу,Дзъ,Дзу
ze,ぜ,Дзэ,Дзэ,Дзэ,Дзе,Дзэ
zo,ぞ,Дзо,Дзо,Дзо,Дзо,Дзо
da,だ,Да,Да,Да,Да,Да
ji_d,ぢ,Дзи,Дзі,Дзі,Дзи,Дзи
zu_d,づ,Дзу,Дзу,Дзу,Дзъ,Дзу
de,で,Дэ,Дэ,Дэ,Де,Дэ
do,ど,До,До,До,До,До
di,ぢ,Дьи,Дьі,Дьі,Дьи,Дьи
du,づ,Дьу,Дьу,Дьу,Дьъ,Дьу
ba,ば,Ба,Ба,Ба,Ба,Ба
bi,び,Би,Бі,Бі,Би,Би
bu,ぶ,Бу,Бу,Бу,Бъ,Бу
be,べ,Бэ,Бэ,Бэ,Бе,Бэ
bo,ぼ,Бо,Бо,Бо,Бо,Бо
pa,ぱ,Па,Па,Па,Па,Па
pi,ぴ,Пи,Пі,Пі,Пи,Пи
pu,ぷ,Пу,Пу,Пу,Пъ,Пу
pe,ぺ,Пэ,Пэ,Пэ,Пе,Пэ
po,ぽ,По,По,По,По,По
