Row,Output,Standard,UKR,BEL,BUL,SRB,Note
# ファ行 (f + vowel)
fa,ふぁ,Фа,Фа,Фа,Фа,Фа,ファン
fi,ふぃ,Фи,Фі,Фі,Фи,Фи,フィルム
fe,ふぇ,Фэ,Фэ,Фэ,Фе,Фэ,カフェ
fo,ふぉ,Фо,Фо,Фо,Фо,Фо,フォーク
# ティ/ディ行 (t/d + i/u for foreign sounds)
ti,てぃ,Ти,Ті,Ті,Ти,Ти,パーティー
di,でぃ,Ди,Ді,Ді,Ди,Ди,キャンディ
tu,とぅ,Ту,Ту,Ту,Ту,Ту,トゥー
du,どぅ,Ду,Ду,Ду,Ду,Ду,ドゥー
# ウィ/ウェ/ウォ (modern wi/we/wo using У instead of В)
wi_modern,うぃ,Уи,Уі,Уі,Уи,Уи,ウィキ (Виはゐ)
we_modern,うぇ,Уэ,Уэ,Уэ,Уе,Уэ,ウェブ (Вэはゑ)
wo_modern,うぉ,Уо,Уо,Уо,Уо,Уо,ウォーター
# シェ/ジェ/チェ/ツェ (foreign e-row combinations)
she,しぇ,Сье,Сье,Сье,Сье,Сје,シェフ (Сэはせ)
je,じぇ,Дзье,Дзье,Дзье,Дзье,Џе,ジェット
che,ちぇ,Чье,Чье,Чье,Чье,Ће,チェック
tse,つぇ,Цье,Цье,Цье,Цье,Цје,ツェッペリン
# ヴ行 (v sound - using Ву prefix to distinguish from В=わ行)
va,ゔぁ,Вуа,Вуа,Вуа,Въа,Вуа,ヴァイオリン
vi,ゔぃ,Вуи,Вуі,Вуі,Въи,Вуи,ヴィジョン
vu,ゔ,Ву,Ву,Ву,Въ,Ву,ヴ
ve,ゔぇ,Вуэ,Вуэ,Вуэ,Въе,Вуэ,ヴェネツィア
vo,ゔぉ,Вуо,Вуо,Вуо,Въо,Вуо,ヴォーカル
# 小書き仮名 (small kana - using ъ prefix)
xa,ぁ,ъа,ъа,ъа,ъа,ъа,小さいあ
xi,ぃ,ъи,ъі,ъі,ъи,ъи,小さいい
xu,ぅ,ъу,ъу,ъу,ъу,ъу,小さいう
xe,ぇ,ъэ,ъэ,ъэ,ъе,ъэ,小さいえ
xo,ぉ,ъо,ъо,ъо,ъо,ъо,小さいお
xya,ゃ,ъя,ъя,ъя,ъя,ъја,小さいや
xyu,ゅ,ъю,ъю,ъю,ъю,ъју,小さいゆ
xyo,ょ,ъё,ъё,ъё,ъё,ъјо,小さいよ
xwa,ゎ,ъва,ъва,ъўа,ъва,ъва,小さいわ
xtu,っ,ъц,ъц,ъц,ъц,ъц,促音直接入力
