Row,Output,Standard,UKR,BEL,BUL,SRB
a,あ,А,А,А,А,А
i,い,И,І,І,И,И
u,う,У,У,У,Ъ,У
e,え,Э,Э,Э,Е,Э
o,お,О,О,О,О,О
ka,か,Ка,Ка,Ка,Ка,Ка
ki,き,Ки,Кі,Кі,Ки,Ки
ku,く,Ку,Ку,Ку,Къ,Ку
ke,け,Кэ,Кэ,Кэ,Ке,Кэ
ko,こ,Ко,Ко,Ко,Ко,Ко
sa,さ,Са,Са,Са,Са,Са
shi,し,Си,Сі,Сі,Си,Си
su,す,Су,Су,Су,Съ,Су
se,せ,Сэ,Сэ,Сэ,Се,Сэ
so,そ,Со,Со,Со,Со,Со
ta,た,Та,Та,Та,Та,Та
chi,ち,Чи,Чі,Чі,Чи,Ћ
tsu,つ,Цу,Цу,Цу,Цъ,Цу
te,て,Тэ,Тэ,Тэ,Те,Тэ
to,と,То,То,То,То,То
na,な,На,На,На,На,На
ni,に,Ни,Ні,Ні,Ни,Ни
nu,ぬ,Ну,Ну,Ну,Нъ,Ну
ne,ね,Нэ,Нэ,Нэ,Не,Нэ
no,の,Но,Но,Но,Но,Но
ha,は,Ха,Ха,Ха,Ха,Ха
hi,ひ,Хи,Хі,Хі,Хи,Хи
fu,ふ,Фу,Фу,Фу,Фъ,Фу
he,へ,Хэ,Хэ,Хэ,Хе,Хэ
ho,ほ,Хо,Хо,Хо,Хо,Хо
ma,ま,Ма,Ма,Ма,Ма,Ма
mi,み,Ми,Мі,Мі,Ми,Ми
mu,む,Му,Му,Му,Мъ,Му
me,め,Мэ,Мэ,Мэ,Ме,Мэ
mo,も,Мо,Мо,Мо,Мо,Мо
ya,や,Я,Я,Я,Я,Ја
yu,ゆ,Ю,Ю,Ю,Ю,Ју
yo,よ,Ё,Ё,Ё,Ё,Јо
ra,ら,Ра,Ра,Ра,Ра,Ра
ri,り,Ри,Рі,Рі,Ри,Ри
ru,る,Ру,Ру,Ру,Ръ,Ру
re,れ,Рэ,Рэ,Рэ,Ре,Рэ
ro,ろ,Ро,Ро,Ро,Ро,Ро
wa,わ,Ва,Ва,Ўа,Ва,Ва
wi,ゐ,Ви,Ві,Ўі,Ви,Ви
we,ゑ,Вэ,Вэ,Ўэ,Ве,Вэ
wo,を,Во,Во,Ўо,Во,Во
n,ん,Н,Н,Н,Н,Н
