Row,Output,Standard,UKR,BEL,BUL,SRB
kya,きゃ,Кя,Кя,Кя,Кя,Кја
kyu,きゅ,Кю,Кю,Кю,Кю,Кју
kyo,きょ,Кё,Кё,Кё,Кё,Кјо
sha,しゃ,Ся,Ся,Ся,Ся,Сја
shu,しゅ,Сю,Сю,Сю,Сю,Сју
sho,しょ,Сё,Сё,Сё,Сё,Сјо
cha,ちゃ,Ча,Ча,Ча,Ча,Ћа
chu,ちゅ,Чу,Чу,Чу,Чу,Ћу
cho,ちょ,Чо,Чо,Чо,Чо,Ћо
nya,にゃ,Ня,Ня,Ня,Ня,Ња
nyu,にゅ,Ню,Ню,Ню,Ню,Њу
nyo,にょ,Нё,Нё,Нё,Нё,Њо
hya,ひゃ,Хя,Хя,Хя,Хя,Хја
hyu,ひゅ,Хю,Хю,Хю,Хю,Хју
hyo,ひょ,Хё,Хё,Хё,Хё,Хјо
mya,みゃ,Мя,Мя,Мя,Мя,Мја
myu,みゅ,Мю,Мю,Мю,Мю,Мју
myo,みょ,Мё,Мё,Мё,Мё,Мјо
rya,りゃ,Ря,Ря,Ря,Ря,Рја
ryu,りゅ,Рю,Рю,Рю,Рю,Рју
ryo,りょ,Рё,Рё,Рё,Рё,Рјо
gya,ぎゃ,Гя,Гя,Гя,Гя,Гја
gyu,ぎゅ,Гю,Гю,Гю,Гю,Гју
gyo,ぎょ,Гё,Гё,Гё,Гё,Гјо
ja,じゃ,Дзя,Дзя,Дзя,Дзя,Ђа
ju,じゅ,Дзю,Дзю,Дзю,Дзю,Ђу
jo,じょ,Дзё,Дзё,Дзё,Дзё,Ђо
bya,びゃ,Бя,Бя,Бя,Бя,Бја
byu,びゅ,Бю,Бю,Бю,Бю,Бју
byo,びょ,Бё,Бё,Бё,Бё,Бјо
pya,ぴゃ,Пя,Пя,Пя,Пя,Пја
pyu,ぴゅ,Пю,Пю,Пю,Пю,Пју
pyo,ぴょ,Пё,Пё,Пё,Пё,Пјо
