バ,ば,318,318,282,-2.3896
バイイ,ばいい,318,131,17,-8.5170
。,。,8,8,61,-1.3314
バイイ,ばいい,318,37,17,-9.0494
バナラナイ,ばならない,318,473,17,-9.0515
ノ,の,368,368,408,-1.2496
ニ,に,151,151,282,-1.3804
バヨイ,ば良い,318,114,17,-9.3344
タ,た,435,435,282,-1.4107
ヲ,を,156,156,356,-1.4309
「,「,6,6,352,-2.0463
ガ,が,148,148,468,-1.4760
コノ,この,1315,1315,468,-2.9957
テ,て,307,307,356,-1.5309
シ,し,610,610,258,-1.5990
デ,で,149,149,468,-1.6217
ソノ,その,1315,1315,468,-3.1543
バイイン,ばいいん,318,1310,17,-9.6390
バト,ばと,318,164,17,-9.6841
モ,も,262,262,468,-1.7359
、,、,10,10,151,-1.2388
バイイノ,ばいいの,318,1310,17,-9.7324
ト,と,164,164,282,-1.8315
ナカ,中,1285,1285,282,-4.2532
ナ,な,454,454,287,-1.8657
バヨカッタ,ばよかった,318,435,17,-9.8347
！,！,1318,1318,244,-1.8994
ナイ,ない,473,473,468,-1.9102
ダ,だ,453,453,471,-1.9207
スル,する,599,599,481,-1.9256
