　,　,9,9,44,-2.3852
ナカ,中,1285,1285,282,-4.2532
「,「,6,6,352,-2.0463
キレ,切れ,1285,1285,268,-5.0162
フクミ,含み,1285,1285,258,-5.0307
トキ,時,1285,1285,282,-5.0542
モノ,者,1285,1285,42,-5.0809
タ,多,1285,1285,351,-5.1111
・,・,5,5,203,-2.9388
…,…,5,5,184,-3.0115
タチ,立ち,1285,1285,356,-5.2779
ミ,見,1285,1285,52,-5.2814
ワタシ,私,1306,1306,17,-3.6898
カズ,数,1285,1285,387,-5.3511
ナ,名,1285,1285,454,-5.3515
キリ,切り,1285,1285,60,-5.3593
コレ,これ,1306,1306,468,-3.8007
ソレ,それ,1306,1306,468,-3.8649
ムラ,村,1285,1285,489,-5.5099
コノ,この,1315,1315,468,-2.9957
アソビ,遊び,1285,1285,290,-5.5279
ジブン,自分,1285,1285,161,-5.5291
ヒト,人,1285,1285,408,-5.5612
ノ,の,368,368,408,-1.2496
ト,と,164,164,282,-1.8315
メ,目,1285,1285,332,-5.5815
マタ,また,555,555,468,-3.5250
ソノ,その,1315,1315,468,-3.1543
シュウ,州,1285,1285,272,-5.7132
ユキ,行き,1285,1285,271,-5.7620
